Symnbol,PB,PE,BVPS,EPS
AMS,0.76,10.52,"13,103",945
CAP,2.16,3.71,"32,472","18,878"
CPH,0.03,0.62,"10,981",482
CSV,1.07,7.39,"32,221","4,651"
DGC,2.44,8.89,"32,933","9,031"
HPP,-,-,,
HDA,0.37,-26.95,"12,501",-171
FHS,1.77,7.66,"14,378","3,316"
EID,0.69,3.69,"27,509","5,152"
DAD,0.86,6.37,"21,030","2,841"
SED,0.57,3.94,"32,327","4,669"
PNC,0.59,8.68,"16,854","1,151"
WCS,1.91,6.88,"93,191","25,896"
HNB,1.17,16.90,"10,688",740
TPS,0.96,22.28,"17,152",741
BSG,2.07,18.06,"5,391",618
HGT,1.16,-262.74,"7,159",-32
SGH,1.82,20.05,"15,023","1,367"
DAH,0.34,75.02,"10,839",50
HOT,2.80,-231.96,"5,498",-66
VNG,0.72,266.26,"11,494",31
OCH,0.89,9.57,"7,501",700
VIR,-,-,,
VTG,0.86,-16.19,"8,885",-469
BTV,1.05,8.12,"8,671","1,121"
IBC,0.10,-1.69,"18,285","-1,048"
VTR,1.42,1.70,"14,397","11,993"
VTD,0.61,11.16,"12,485",677
CAB,1.04,83.22,"12,250",153
FOC,1.98,11.41,"37,702","6,545"
DSN,2.07,5.81,"25,174","8,987"
TCT,0.86,15.51,"26,199","1,450"
VNS,0.80,5.07,"16,842","2,662"
TNH,1.21,8.73,"16,471","2,280"
TTD,3.71,12.28,"18,388","5,552"
ADG,1.63,21.32,"15,120","1,154"
PHN,2.23,7.01,"21,514","6,852"
